,time,w_id,x,y,z,activities
0,1514882939.22,cda75cbf5cb6,0.958740234375,0.211181640625,-0.003173828125,Walking
1,1514882939.22,eefa00050aaa,-0.980712890625,0.304931640625,0.13671875,Walking
2,1514882939.24,cda75cbf5cb6,0.96044921875,0.22412109375,0.011474609375,Walking
3,1514882939.24,eefa00050aaa,-0.979736328125,0.31982421875,0.15625,Walking
4,1514882939.25,cda75cbf5cb6,0.984619140625,0.22265625,0.012939453125,Walking
5,1514882939.26,cda75cbf5cb6,0.9638671875,0.227294921875,0.019775390625,Walking
6,1514882939.26,eefa00050aaa,-0.952392578125,0.325927734375,0.169189453125,Walking
7,1514882939.26,cda75cbf5cb6,1.00659179688,0.20751953125,0.025634765625,Walking
8,1514882939.28,cda75cbf5cb6,1.00805664062,0.21875,0.034423828125,Walking
9,1514882939.31,eefa00050aaa,-0.936767578125,0.3134765625,0.150634765625,Walking
10,1514882939.31,cda75cbf5cb6,1.01586914062,0.226318359375,0.048095703125,Walking
11,1514882939.33,cda75cbf5cb6,1.01977539062,0.243408203125,0.060546875,Walking
12,1514882939.33,eefa00050aaa,-0.946044921875,0.279052734375,0.1142578125,Walking
13,1514882939.35,eefa00050aaa,-0.9765625,0.259521484375,0.102783203125,Walking
14,1514882939.35,cda75cbf5cb6,1.00024414062,0.267333984375,0.09228515625,Walking
15,1514882939.38,eefa00050aaa,-0.989990234375,0.25830078125,0.0966796875,Walking
16,1514882939.38,eefa00050aaa,-0.93408203125,0.28173828125,0.126953125,Walking
17,1514882939.38,cda75cbf5cb6,0.98583984375,0.26318359375,0.100830078125,Walking
18,1514882939.4,cda75cbf5cb6,0.99169921875,0.24462890625,0.099853515625,Walking
19,1514882939.4,eefa00050aaa,-0.864990234375,0.27734375,0.1201171875,Walking
20,1514882939.4,eefa00050aaa,-0.9990234375,0.258056640625,0.102294921875,Walking
21,1514882939.42,cda75cbf5cb6,0.974609375,0.223388671875,0.10400390625,Walking
22,1514882939.42,eefa00050aaa,-0.7919921875,0.262939453125,0.10986328125,Walking
23,1514882939.42,eefa00050aaa,-0.977783203125,0.26953125,0.11376953125,Walking
24,1514882939.43,cda75cbf5cb6,0.9462890625,0.19775390625,0.103271484375,Walking
25,1514882939.43,eefa00050aaa,-0.7392578125,0.25390625,0.115478515625,Walking
26,1514882939.45,eefa00050aaa,-0.717529296875,0.23779296875,0.136474609375,Walking
27,1514882939.45,cda75cbf5cb6,0.9130859375,0.17431640625,0.09912109375,Walking
28,1514882939.46,cda75cbf5cb6,0.911376953125,0.169677734375,0.114013671875,Walking
29,1514882939.47,eefa00050aaa,-0.7177734375,0.224609375,0.125,Walking
30,1514882939.52,eefa00050aaa,-0.760009765625,0.201416015625,0.0947265625,Walking
31,1514882939.52,cda75cbf5cb6,0.922607421875,0.15380859375,0.130859375,Walking
32,1514882939.54,eefa00050aaa,-1.11303710938,0.1767578125,-0.066650390625,Walking
33,1514882939.54,cda75cbf5cb6,1.11083984375,0.04052734375,0.085693359375,Walking
34,1514882939.54,cda75cbf5cb6,0.962158203125,0.13134765625,0.11865234375,Walking
35,1514882939.54,eefa00050aaa,-0.856689453125,0.183837890625,0.067626953125,Walking
36,1514882939.56,cda75cbf5cb6,1.13745117188,-0.006103515625,0.068603515625,Walking
37,1514882939.56,eefa00050aaa,-0.96142578125,0.1845703125,0.025634765625,Walking
38,1514882939.56,eefa00050aaa,-1.2646484375,0.230224609375,-0.038330078125,Walking
39,1514882939.56,cda75cbf5cb6,1.03198242188,0.100830078125,0.10107421875,Walking
40,1514882939.58,cda75cbf5cb6,1.1259765625,-0.07275390625,0.066162109375,Walking
41,1514882939.58,eefa00050aaa,-1.25659179688,0.27978515625,0.130126953125,Walking
42,1514882939.67,cda75cbf5cb6,1.07153320312,-0.166015625,0.072998046875,Walking
43,1514882939.67,eefa00050aaa,-1.11206054688,0.37255859375,0.259521484375,Walking
44,1514882939.68,cda75cbf5cb6,1.05493164062,-0.283447265625,0.044189453125,Walking
45,1514882939.69,cda75cbf5cb6,1.06640625,-0.214599609375,0.045654296875,Walking
46,1514882939.69,cda75cbf5cb6,1.06713867188,-0.161865234375,0.038330078125,Walking
47,1514882939.69,eefa00050aaa,-0.847900390625,0.387939453125,0.317626953125,Walking
48,1514882939.71,eefa00050aaa,-0.677978515625,0.433349609375,0.399169921875,Walking
49,1514882939.71,eefa00050aaa,-0.7578125,0.53759765625,0.464111328125,Walking
50,1514882939.71,cda75cbf5cb6,0.993896484375,-0.111083984375,0.018310546875,Walking
51,1514882939.71,cda75cbf5cb6,1.056640625,-0.285888671875,0.04443359375,Walking
52,1514882939.73,eefa00050aaa,-0.949462890625,0.5703125,0.419189453125,Walking
53,1514882939.75,eefa00050aaa,-0.989013671875,0.472412109375,0.314208984375,Walking
54,1514882939.75,cda75cbf5cb6,0.97998046875,-0.026123046875,0.0126953125,Walking
55,1514882939.76,eefa00050aaa,-0.945068359375,0.377685546875,0.254150390625,Walking
56,1514882939.76,eefa00050aaa,-0.939453125,0.19189453125,0.263671875,Walking
57,1514882939.77,cda75cbf5cb6,0.946533203125,-0.001953125,0.0244140625,Walking
58,1514882939.78,eefa00050aaa,-0.9443359375,0.257080078125,0.249267578125,Walking
59,1514882939.78,eefa00050aaa,-0.890869140625,0.243408203125,0.26416015625,Walking
60,1514882939.79,cda75cbf5cb6,0.903076171875,0.06689453125,0.058837890625,Walking
61,1514882939.8,eefa00050aaa,-0.9599609375,0.198974609375,0.25927734375,Walking
62,1514882939.8,eefa00050aaa,-0.858154296875,0.304931640625,0.276123046875,Walking
63,1514882939.82,cda75cbf5cb6,0.8974609375,0.164794921875,0.091552734375,Walking
64,1514882939.84,cda75cbf5cb6,0.905029296875,0.1923828125,0.111328125,Walking
65,1514882939.86,cda75cbf5cb6,0.889404296875,0.252197265625,0.120361328125,Walking
