,time,w_id,x,y,z,activities
0,1514965763.08,cda75cbf5cb6,0.953369140625,0.31884765625,0.12841796875,Walking
1,1514965763.08,eefa00050aaa,-0.972900390625,0.1953125,0.1318359375,Walking
2,1514965763.08,eefa00050aaa,-0.9453125,0.205810546875,0.14453125,Walking
3,1514965763.09,eefa00050aaa,-0.944580078125,0.2109375,0.144287109375,Walking
4,1514965763.1,cda75cbf5cb6,0.95361328125,0.32275390625,0.12744140625,Walking
5,1514965763.1,eefa00050aaa,-0.942138671875,0.22265625,0.150390625,Walking
6,1514965763.11,cda75cbf5cb6,0.9443359375,0.326171875,0.126708984375,Walking
7,1514965763.11,eefa00050aaa,-0.93896484375,0.21728515625,0.1455078125,Walking
8,1514965763.11,eefa00050aaa,-0.94140625,0.21728515625,0.148193359375,Walking
9,1514965763.13,eefa00050aaa,-0.914306640625,0.247802734375,0.138427734375,Walking
10,1514965763.13,eefa00050aaa,-0.927978515625,0.2353515625,0.145751953125,Walking
11,1514965763.15,eefa00050aaa,-0.937744140625,0.249755859375,0.13232421875,Walking
12,1514965763.17,cda75cbf5cb6,0.937255859375,0.3271484375,0.12890625,Walking
13,1514965763.17,eefa00050aaa,-0.944091796875,0.253173828125,0.12109375,Walking
14,1514965763.18,cda75cbf5cb6,0.936767578125,0.3271484375,0.13232421875,Walking
15,1514965763.18,cda75cbf5cb6,0.95068359375,0.336669921875,0.13623046875,Walking
16,1514965763.18,eefa00050aaa,-0.94482421875,0.248046875,0.11376953125,Walking
17,1514965763.2,eefa00050aaa,-0.955078125,0.26025390625,0.105224609375,Walking
18,1514965763.2,cda75cbf5cb6,0.949951171875,0.3369140625,0.131591796875,Walking
19,1514965763.2,cda75cbf5cb6,0.943359375,0.3388671875,0.13427734375,Walking
20,1514965763.22,eefa00050aaa,-0.9580078125,0.2734375,0.106201171875,Walking
21,1514965763.22,cda75cbf5cb6,0.946533203125,0.344482421875,0.142578125,Walking
22,1514965763.22,cda75cbf5cb6,0.947998046875,0.340576171875,0.135986328125,Walking
23,1514965763.23,eefa00050aaa,-0.944091796875,0.292236328125,0.109130859375,Walking
24,1514965763.24,cda75cbf5cb6,0.9375,0.344970703125,0.143310546875,Walking
25,1514965763.25,eefa00050aaa,-0.9501953125,0.291015625,0.103759765625,Walking
26,1514965763.26,cda75cbf5cb6,0.9296875,0.335205078125,0.1376953125,Walking
27,1514965763.27,eefa00050aaa,-0.95068359375,0.287353515625,0.103759765625,Walking
28,1514965763.35,eefa00050aaa,-0.970703125,0.28271484375,0.1201171875,Walking
29,1514965763.35,eefa00050aaa,-0.95703125,0.28662109375,0.10400390625,Walking
30,1514965763.37,eefa00050aaa,-0.966552734375,0.28369140625,0.111572265625,Walking
31,1514965763.37,eefa00050aaa,-0.962158203125,0.287109375,0.132080078125,Walking
32,1514965763.39,eefa00050aaa,-0.953369140625,0.285400390625,0.134765625,Walking
33,1514965763.39,eefa00050aaa,-0.97314453125,0.2802734375,0.11474609375,Walking
34,1514965763.43,eefa00050aaa,-0.94140625,0.281494140625,0.135498046875,Walking
35,1514965763.45,eefa00050aaa,-0.93359375,0.283203125,0.1416015625,Walking
36,1514965763.47,eefa00050aaa,-0.951904296875,0.296142578125,0.14501953125,Walking
37,1514965763.47,eefa00050aaa,-0.94677734375,0.2861328125,0.1435546875,Walking
38,1514965763.47,cda75cbf5cb6,0.931396484375,0.331298828125,0.1357421875,Walking
39,1514965763.49,eefa00050aaa,-0.96875,0.29052734375,0.147216796875,Walking
40,1514965763.49,cda75cbf5cb6,0.937255859375,0.333251953125,0.135498046875,Walking
41,1514965763.51,cda75cbf5cb6,0.942626953125,0.339111328125,0.130615234375,Walking
42,1514965763.51,eefa00050aaa,-0.9892578125,0.306396484375,0.150146484375,Walking
43,1514965763.53,cda75cbf5cb6,0.95166015625,0.33544921875,0.12939453125,Walking
44,1514965763.53,eefa00050aaa,-0.999755859375,0.30029296875,0.151611328125,Walking
45,1514965763.55,cda75cbf5cb6,0.9501953125,0.332275390625,0.126953125,Walking
46,1514965763.55,eefa00050aaa,-1.00952148438,0.291748046875,0.140380859375,Walking
47,1514965763.57,cda75cbf5cb6,0.94921875,0.337646484375,0.126708984375,Walking
48,1514965763.57,eefa00050aaa,-1.00805664062,0.28662109375,0.136962890625,Walking
49,1514965763.6,cda75cbf5cb6,0.949951171875,0.336669921875,0.12841796875,Walking
50,1514965763.61,eefa00050aaa,-0.99951171875,0.2900390625,0.14501953125,Walking
51,1514965763.62,cda75cbf5cb6,0.949951171875,0.337158203125,0.1240234375,Walking
52,1514965763.63,eefa00050aaa,-0.982421875,0.2919921875,0.152587890625,Walking
53,1514965763.63,eefa00050aaa,-0.943115234375,0.281494140625,0.164306640625,Walking
54,1514965763.63,cda75cbf5cb6,0.955810546875,0.331787109375,0.135986328125,Walking
55,1514965763.64,cda75cbf5cb6,0.956787109375,0.334716796875,0.131103515625,Walking
56,1514965763.65,cda75cbf5cb6,0.946533203125,0.330322265625,0.133544921875,Walking
57,1514965763.65,eefa00050aaa,-0.957275390625,0.284912109375,0.15185546875,Walking
58,1514965763.65,eefa00050aaa,-0.9228515625,0.276123046875,0.166259765625,Walking
59,1514965763.67,eefa00050aaa,-0.906494140625,0.263671875,0.165771484375,Walking
60,1514965763.67,cda75cbf5cb6,0.954345703125,0.33203125,0.131103515625,Walking
61,1514965763.77,eefa00050aaa,-0.879150390625,0.24560546875,0.15478515625,Walking
62,1514965763.77,eefa00050aaa,-1.00756835938,0.208740234375,0.15576171875,Walking
63,1514965763.78,eefa00050aaa,-0.876708984375,0.209228515625,0.142578125,Walking
64,1514965763.79,eefa00050aaa,-1.08203125,0.261962890625,0.199951171875,Walking
65,1514965763.8,eefa00050aaa,-0.919921875,0.2001953125,0.146240234375,Walking
66,1514965763.81,eefa00050aaa,-1.11303710938,0.23974609375,0.22998046875,Walking
67,1514965764.07,eefa00050aaa,-1.08740234375,0.100341796875,0.21240234375,Walking
68,1514965764.09,eefa00050aaa,-1.06787109375,-0.03125,0.15673828125,Walking
69,1514965764.11,eefa00050aaa,-1.03100585938,-0.02978515625,0.124267578125,Walking
70,1514965764.19,eefa00050aaa,-0.98193359375,0.07080078125,0.1162109375,Walking
71,1514965764.21,eefa00050aaa,-0.928955078125,0.12744140625,0.121826171875,Walking
72,1514965764.23,eefa00050aaa,-0.908447265625,0.145263671875,0.090576171875,Walking
73,1514965764.26,cda75cbf5cb6,0.95068359375,0.33935546875,0.12939453125,Walking
74,1514965764.26,eefa00050aaa,-0.885986328125,0.15576171875,0.08740234375,Walking
75,1514965764.26,eefa00050aaa,-0.7626953125,0.28662109375,0.13037109375,Walking
76,1514965764.26,eefa00050aaa,-0.765625,0.2158203125,0.142578125,Walking
77,1514965764.27,eefa00050aaa,-0.799072265625,0.42041015625,0.1044921875,Walking
78,1514965764.27,eefa00050aaa,-0.80859375,0.492431640625,0.249755859375,Walking
79,1514965764.27,eefa00050aaa,-0.845947265625,0.317138671875,0.220947265625,Walking
80,1514965764.28,cda75cbf5cb6,0.936279296875,0.343505859375,0.125,Walking
81,1514965764.28,eefa00050aaa,-0.9072265625,0.46044921875,0.350341796875,Walking
82,1514965764.28,eefa00050aaa,-0.85107421875,0.206298828125,0.10400390625,Walking
83,1514965764.28,eefa00050aaa,-0.7646484375,0.260498046875,0.157958984375,Walking
84,1514965764.28,eefa00050aaa,-0.740478515625,0.246826171875,0.09814453125,Walking
85,1514965764.29,eefa00050aaa,-0.75048828125,0.4873046875,0.162841796875,Walking
86,1514965764.29,eefa00050aaa,-0.817138671875,0.42236328125,0.1181640625,Walking
87,1514965764.3,eefa00050aaa,-0.872802734375,0.395751953125,0.115478515625,Walking
